,round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,dropout,emb_output_dims,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,optimizer,shapes,weight_regulizer
407,50,0.3444420941512693,0.8424242499199781,0.42564636764997044,0.8192457821806324,<function relu at 0x7f1605d950d0>,3,0.0,,50,16,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.75,<class 'keras.optimizers.Adam'>,brick,
408,100,0.378219447375247,0.8151515151515152,0.327405908255219,0.8504551365409623,<function elu at 0x7f1605d95158>,4,0.0,,100,8,2,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Adam'>,funnel,
409,50,0.39464097339095494,0.8121212121212121,0.4346005799750203,0.8179453836150845,<function relu at 0x7f1605d950d0>,4,0.0,,50,64,2,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,4.4375,<class 'keras.optimizers.Adam'>,brick,
410,150,0.4396842944266444,0.818181824684143,0.46345083411148374,0.803641100776211,<function elu at 0x7f1605d95158>,3,0.0,,150,64,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.875,<class 'keras.optimizers.Adam'>,brick,
411,150,0.2923997375323917,0.8757575757575757,0.3490141734328867,0.8374512353706112,<function relu at 0x7f1605d950d0>,2,0.0,,150,32,2,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,funnel,
412,150,0.33399434146104434,0.8636363636363636,0.3925292615540161,0.8257477243172952,<function relu at 0x7f1605d950d0>,4,0.0,,150,64,3,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Adam'>,brick,
413,150,0.39497586615722285,0.8090909090909091,0.41218928891138423,0.8140442132639792,<function relu at 0x7f1605d950d0>,2,0.0,,150,8,5,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Adam'>,brick,
414,150,0.37271063053754694,0.8393939393939394,0.34681241150209086,0.8452535760728218,<function elu at 0x7f1605d95158>,2,0.0,,150,8,5,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.0625,<class 'keras.optimizers.Nadam'>,brick,
415,50,0.31587001013033317,0.8515151515151516,0.39130938791891534,0.8296488946684005,<function elu at 0x7f1605d95158>,2,0.0,,50,16,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Nadam'>,brick,
416,50,0.31432480971808685,0.8363636363636363,0.36350835778118296,0.8309492847854356,<function elu at 0x7f1605d95158>,2,0.0,,50,8,2,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,0.5,<class 'keras.optimizers.Nadam'>,funnel,
417,150,0.3638660283251242,0.8545454545454545,0.4279591187613022,0.8257477243172952,<function elu at 0x7f1605d95158>,1,0.0,,150,16,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,2.75,<class 'keras.optimizers.Nadam'>,brick,
418,100,0.3441184682376457,0.8545454545454545,0.42362826888468263,0.8257477243172952,<function relu at 0x7f1605d950d0>,2,0.0,,100,64,3,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.875,<class 'keras.optimizers.Adam'>,funnel,
419,100,9.178949172930286,0.4242424339056015,8.043752296383268,0.4954486456354511,<function elu at 0x7f1605d95158>,3,0.0,,100,64,4,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,brick,
420,150,0.6901884097041506,0.5757575757575758,0.6936289537867582,0.4889466840052016,<function relu at 0x7f1605d950d0>,2,0.0,,150,8,2,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,funnel,
421,100,9.178948918255895,0.42424242424242425,8.043752105400374,0.49544863459037713,<function relu at 0x7f1605d950d0>,4,0.0,,100,16,5,normal,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,1.625,<class 'keras.optimizers.Nadam'>,brick,
422,50,0.4350956553389959,0.8,0.44369645745857905,0.8062418725617685,<function relu at 0x7f1605d950d0>,1,0.0,,50,32,4,uniform,<function sigmoid at 0x7f1605d95510>,<function binary_crossentropy at 0x7f1605d95488>,3.3125,<class 'keras.optimizers.Adam'>,brick,
